	Bone_Marrow	Cerebellum	Cortex	E14.5_Brain	E14.5_Heart	E14.5_Limb	E14.5_Liver	Heart	Intestine	Kidney	Liver	Lung	MEF	Olfactory_bulb	Placenta	Spleen	Testis	Thymus	mESC
Bone_Marrow	1.0	0.0762589928058	0.104316546763	0.0784172661871	0.2	0.108633093525	0.318705035971	0.202877697842	0.337410071942	0.164028776978	0.171223021583	0.207194244604	0.141726618705	0.107913669065	0.175539568345	0.617985611511	0.0805755395683	0.13381294964	0.107194244604
Cerebellum	0.0553935860058	1.0	0.200583090379	0.114868804665	0.120699708455	0.0559766763848	0.0501457725948	0.149271137026	0.10029154519	0.107871720117	0.102040816327	0.0927113702624	0.0781341107872	0.185422740525	0.0746355685131	0.0886297376093	0.0349854227405	0.0244897959184	0.0588921282799
Cortex	0.0761750405186	0.197190707726	1.0	0.186385737439	0.196650459211	0.110210696921	0.0567260940032	0.228525121556	0.15775256618	0.155051323609	0.139384116694	0.17017828201	0.140464613722	0.413290113452	0.119394921664	0.139924365208	0.0534846029173	0.0432198811453	0.0831982712048
E14.5_Brain	0.077743902439	0.136432926829	0.212652439024	1.0	0.201219512195	0.224085365854	0.0457317073171	0.147103658537	0.116615853659	0.127286585366	0.10137195122	0.115853658537	0.150152439024	0.306402439024	0.0792682926829	0.109756097561	0.0625	0.0289634146341	0.114329268293
E14.5_Heart	0.0794255568581	0.063305978898	0.0973036342321	0.0870457209848	1.0	0.155041031653	0.0729777256741	0.376905041032	0.171160609613	0.169695193435	0.119284876905	0.191383352872	0.226260257913	0.103458382181	0.16060961313	0.118991793669	0.0383939038687	0.0310668229777	0.107561547479
E14.5_Limb	0.0867526377491	0.0521688159437	0.113716295428	0.182297772567	0.303634232122	1.0	0.067409144197	0.182297772567	0.175849941383	0.147713950762	0.117233294256	0.15123094959	0.314185228605	0.136576787808	0.118405627198	0.137162954279	0.0750293083236	0.0369284876905	0.141266119578
E14.5_Liver	0.11695476278	0.0275836704671	0.0319970577418	0.0216991541008	0.0739242368518	0.0404560500184	1.0	0.0695108495771	0.124678190511	0.05590290548	0.0886355277676	0.0606840750276	0.0621552041192	0.02795145274	0.0901066568591	0.108127988231	0.0194924604634	0.0415593968371	0.0702464141228
Heart	0.0719360568384	0.0719360568384	0.113380698638	0.063055062167	0.347246891652	0.0891059798697	0.0586145648313	1.0	0.179692125518	0.207223208999	0.161338069864	0.276494967436	0.172587329781	0.110124333925	0.153049141504	0.138247483718	0.0420367081113	0.044404973357	0.0923623445826
Intestine	0.100813408923	0.0419028839044	0.0640867636184	0.039684495933	0.13778654178	0.0695094897708	0.0907074192753	0.155533645551	1.0	0.167365048065	0.188070002465	0.138526004437	0.123736751294	0.065072713828	0.15232930737	0.16268178457	0.0350012324378	0.0394380083806	0.105003697313
Kidney	0.080035180299	0.0703605980651	0.107739665787	0.0721196130167	0.222955145119	0.0998240985048	0.065963060686	0.299472295515	0.277484608619	1.0	0.274846086192	0.23526824978	0.174582233949	0.122691292876	0.175021987687	0.142040457344	0.0479331574318	0.03781882146	0.135004397537
