	Bone_Marrow	Cerebellum	Cortex	E14.5_Brain	E14.5_Heart	E14.5_Limb	E14.5_Liver	Heart	Intestine	Kidney	Liver	Lung	MEF	Olfactory_bulb	Placenta	Spleen	Testis	Thymus	mESC
Bone_Marrow	1.0	0.0309053	0.0460679	0.0393553	0.06273	0.0509872	0.108436	0.0580018	0.0896625	0.0544804	0.0406733	0.0847566	0.036167	0.036513	0.0441931	0.210812	0.0688178	0.0689053	0.0268137
Cerebellum	0.0309053	1.0	0.11599	0.061104	0.0415246	0.0256648	0.0151292	0.0504953	0.0310711	0.0492516	0.0304905	0.0410316	0.024453	0.0807592	0.0222242	0.0295355	0.0263412	0.0122181	0.0162138
Cortex	0.0460679	0.11599	1.0	0.110539	0.072103	0.0615629	0.0222594	0.0886021	0.0524713	0.0727959	0.0431574	0.0823529	0.0472431	0.210419	0.0380153	0.0503801	0.051371	0.0227792	0.0253057
E14.5_Brain	0.0393553	0.061104	0.110539	1.0	0.0689344	0.120117	0.0166467	0.0429526	0.0311995	0.0449096	0.024013	0.0475769	0.0412131	0.127159	0.0222182	0.0325776	0.0518204	0.015631	0.0291813
E14.5_Heart	0.06273	0.0415246	0.072103	0.0689344	1.0	0.120084	0.0413938	0.214988	0.0859418	0.108984	0.0569215	0.13305	0.112777	0.0618714	0.0784322	0.0648918	0.0407242	0.0245817	0.0486132
E14.5_Limb	0.0509872	0.0256648	0.0615629	0.120117	0.120084	1.0	0.0269541	0.0620009	0.0539709	0.0612464	0.0342466	0.0687604	0.103411	0.055833	0.0346075	0.0477483	0.0649827	0.0213928	0.0404012
E14.5_Liver	0.108436	0.0151292	0.0222594	0.0166467	0.0413938	0.0269541	1.0	0.0347242	0.0547606	0.0319565	0.040285	0.0377185	0.0268464	0.0157912	0.0392382	0.0585208	0.0206207	0.0285882	0.0293868
Heart	0.0580018	0.0504953	0.0886021	0.0429526	0.214988	0.0620009	0.0347242	1.0	0.0987169	0.155795	0.085914	0.236428	0.0862727	0.0664912	0.0810168	0.0771677	0.0431741	0.0309678	0.044761
Intestine	0.0896625	0.0310711	0.0524713	0.0311995	0.0859418	0.0539709	0.0547606	0.0987169	1.0	0.123868	0.105641	0.118501	0.0725254	0.0432709	0.0924563	0.108564	0.0385994	0.0351249	0.0547145
Kidney	0.0544804	0.0492516	0.0727959	0.0449096	0.108984	0.0612464	0.0319565	0.155795	0.123868	1.0	0.127609	0.168076	0.0776913	0.0614352	0.0757395	0.0649043	0.0453729	0.0249191	0.0543647
Liver	0.0406733	0.0304905	0.0431574	0.024013	0.0569215	0.0342466	0.040285	0.085914	0.105641	0.127609	1.0	0.0910003	0.0516923	0.0300622	0.0673152	0.051481	0.026651	0.0165986	0.0321772
Lung	0.0847566	0.0410316	0.0823529	0.0475769	0.13305	0.0687604	0.0377185	0.236428	0.118501	0.168076	0.0910003	1.0	0.0896234	0.0510163	0.0909783	0.0982122	0.0600939	0.0382535	0.0486215
MEF	0.036167	0.024453	0.0472431	0.0412131	0.112777	0.103411	0.0268464	0.0862727	0.0725254	0.0776913	0.0516923	0.0896234	1.0	0.042463	0.0890453	0.0483937	0.0266267	0.0189719	0.0511642
Olfactory_bulb	0.036513	0.0807592	0.210419	0.127159	0.0618714	0.055833	0.0157912	0.0664912	0.0432709	0.0614352	0.0300622	0.0510163	0.042463	1.0	0.0252404	0.0462266	0.0344595	0.0238428	0.0220986
Placenta	0.0441931	0.0222242	0.0380153	0.0222182	0.0784322	0.0346075	0.0392382	0.0810168	0.0924563	0.0757395	0.0673152	0.0909783	0.0890453	0.0252404	1.0	0.0523423	0.0266061	0.020355	0.0591104
Spleen	0.210812	0.0295355	0.0503801	0.0325776	0.0648918	0.0477483	0.0585208	0.0771677	0.108564	0.0649043	0.051481	0.0982122	0.0483937	0.0462266	0.0523423	1.0	0.0404712	0.124919	0.0369477
Testis	0.0688178	0.0263412	0.051371	0.0518204	0.0407242	0.0649827	0.0206207	0.0431741	0.0385994	0.0453729	0.026651	0.0600939	0.0266267	0.0344595	0.0266061	0.0404712	1.0	0.0192325	0.0223549
Thymus	0.0689053	0.0122181	0.0227792	0.015631	0.0245817	0.0213928	0.0285882	0.0309678	0.0351249	0.0249191	0.0165986	0.0382535	0.0189719	0.0238428	0.020355	0.124919	0.0192325	1.0	0.0156424
mESC	0.0268137	0.0162138	0.0253057	0.0291813	0.0486132	0.0404012	0.0293868	0.044761	0.0547145	0.0543647	0.0321772	0.0486215	0.0511642	0.0220986	0.0591104	0.0369477	0.0223549	0.0156424	1.0
